,Article Date,Atricle Category,Article Title,Article Link,Article content
0,1/5/2022 6:49:25 PM,Egypt-Urban & Transport,"One killed, 8 injured in Cairo Ring Road collision	","https://english.ahram.org.eg/NewsContent/1/1235/454710/Egypt/Urban--Transport/One-killed,--injured-in-Cairo-Ring-Road-collision%09.aspx",None
1,11/10/2021 10:56:38 AM,Egypt-Urban & Transport,Egypt witnesses 28.9% drop in traffic injuries and 8.9% decrease in deaths in 2020,https://english.ahram.org.eg/NewsContent/1/1235/438413/Egypt/Urban--Transport/Egypt-witnesses--drop-in-traffic-injuries-and--dec.aspx,"The number of road traffic injuries and deaths amounted to 56,789 and 6,164, respectively, in 2020.Also, the number of males injured in road accidents in 2020 totaled 46,324, more than four times the number of injured females throughout the same year.Cairo reported the least number of traffic injuries nationwide, reporting only 219 cases in 2020.However, traffic injuries in Northern Egypt’s Daqahliya reached 12,767, the highest number among all governorates.Egypt has witnessed a steady decline in road accidents over the past years in parallel with national efforts to improve the countrywide road network.President Abdel-Fattah El-Sisi launched the National Road Project in 2014 with the goal of developing and extending Egypt’s 23,500km road network.In 2019, Egypt was ranked 28th in terms of the quality of road infrastructure in the World Economic Forum’s Global Competitive Report, up from the 118th place in 2014 when the project was first launched.Egypt has also expanded its network of speed cameras on highways over the past few years to limit road accidents.In February, the parliament approved new amendments to Traffic Law 66/1972 proposed by the government that includes stricter penalties for traffic violations and the adoption of a point system that will be applied for the first time in Egypt’s history.The country also witnessed a 37.7 percent drop in the number of train accidents in 2020, reporting 898 accidents, the CAPMAS said in its report.The Central Delta in northern Egypt reported the highest number of train accidents in 2020, amounting to 24.6 percent of total accidents.The number of deaths in train accidents dropped by 43.6 percent in 2020 to reach 296, while injuries dropped by 40.9 percent to reach 525.Egypt’s railway lines have witnessed numerous accidents in recent years, with dozens killed this year due to separate incidents in different governorates.However, the drop in the number of accidents is a result of the Egyptian state’s implementation of a plan to completely develop the entirety of the country’s railway system and replace all old carriages and tractors with either upgraded or new ones by the end of 2021.The plan also involves upgrading railway signaling systems for higher safety, improving workshops and supplying them with modern equipment, and also installing automatic train control with a speed control mechanism in response to any emergency.The country is also setting up monorail and high-speed train systems in cooperation with international companies in areas across Egypt.In April, Transport Minister Kamel El-Wazir said a total of EGP 1.7 billion have been spent to develop the country’s railway stations.Search Keywords:Egyptian Road Crashes  Train Accidents  CAPMAS  Traffic Accidents  Railway System  Global Competition Report Short link:  "
2,5/29/2021 9:00:00 AM,Egypt-Politics,Transport minister vows to ensure safe travel for railway passengers,https://english.ahram.org.eg/NewsContent/1/64/413106/Egypt/Politics-/Transport-minister-vows-to-ensure-safe-travel-for-.aspx," Related Training employees on latest technological systems a priority: Egypt's transport ministerEgypt's prosecution orders detention of 23 people over fatal train derailment; death toll rises to 23Minister of Transportation reshuffles Egypt's Railways Authority management in wake of recent train accidentsMinister of Transport Kamel El-Wazir said Egypt’s railway sector has a primary goal to implement a comprehensive development plan for that vital sector, which transports millions of passengers per year.The transport minister made the remarks during his meeting with the heads and deputy heads of railway departments across the country, along with managers of main railway workshops, the Ministry of Transport said in a statement Friday.Ensuring high safety and security standards, and rehabilitating the human element comes at the forefront of pillars of that plan, which in turn requires round-the-clock work, vigilance and discipline, El-Wazir added.On that score, El-Wazir instructed the officials to strictly apply railway regulations, as well as to dole out rewards and sanctions.The meeting touched on the measures taken to raise security and safety standards along railway lines, the statement said.Search Keywords: Cairo  railway accidents Short link:  "
3,4/26/2021 6:06:00 PM,Egypt-Politics,Transport minister seeks legislation to fire 'extremists' working in railway sector,https://english.ahram.org.eg/NewsContent/1/64/410018/Egypt/Politics-/Transport-minister-seeks-legislation-to-fire-extre.aspx,"Related Egypt's prosecution orders detention of 4 railway staffers over train derailment accidentMinister of Transportation reshuffles Egypt's Railways Authority management in wake of recent train accidentsTwenty people killed, three injured in a road accident in AssiutThe Egyptian transport minister has asked the House of Representatives to introduce legislation that would allow the dismissal of extremists, saboteurs, and drug users working at the country's railway facility, which recently saw a series of deadly accidents.Addressing the country’s parliament on Monday, Transport Minister Kamel El-Wazir called for amending the Civil Service Law, which covers the country's public employees, to allow for firing people who undermine the railway sector.These employees include ""instigating elements, extremists, and drug abusers,"" according to the minister, who also said that “boys” are being incited to loosen the nails off tracks and throw stones at the rails, which causes trains to turn over.El-Wazir talked to MPs on Monday about the reasons behind the latest accidents and his ministry's plans to modernise the railway system.Over 40 passengers lost their lives and dozens were injured in two train accidents in the past month in the Upper Egyptian governorate of Sohag and the Nile Delta governorate of Daqahliya.Probes into both accidents are underway, and the country’s top prosecutor has ordered the detention of many railway staffers pending investigations.The preliminary probes into both accidents have shown human error and negligence by railway employees, according to official statements. Also, a drug test for a signalling tower employee and the assistant driver involved in the Sohag accident has shown their abuse of narcotic substances.The minister said that the railway sector involves ""instigating elements"" that attempt to prevent the development process of railways, noting that the ministry is exerting efforts to direct railway staffers not to comply with these instigators.""We have 162 Muslim Brotherhood members working at the railway sector, and whenever we demand to have them transferred to other ministries, these ministries refuse,"" El-Wazir said.""It would be better if they stay in their homes and get paid, because they are saboteurs and discharging them would spare [the sector] disruptive acts. Unfortunately, the number of these categories is increasing,"" he stressed.He asked for transferring these workers to other ministries in positions that are not sensitive until the legislative amendments are complete.The minister also played clips showing acts of theft that occur along railways as well as ""random markets"" that he said are situated near railway stations and impede the movement of trains. Search Keywords:Egypt  Train accidents  Transport Minister Kamel El-Wazir Short link:  "
4,4/20/2021 1:02:31 PM,Egypt-Politics,Minister of Transportation reshuffles Egypt's Railways Authority management in wake of recent train accidents,https://english.ahram.org.eg/NewsContent/1/64/409585/Egypt/Politics-/Minister-of-Transportation-reshuffles-Egypts-Railw.aspx," Related Four train carriages derail in Qalioubiya; 11 people killed and 98 others injuredEgypt's prosecution probe shows negligence involved in Sohag's deadly train collisionEgypt’s Minister of Transportation Kamel El-Wazir dismissed on Tuesday the chairman of the Egyptian state’s National Railways Authority Ashraf Raslan from his position, appointing him instead as the minister’s adviser for railways affairs.El-Wazir assigned Mostafa Abdel-Latif as chairman for the Railways Authority for one year.The minister also issued a number of decisions to reshuffle the top management positions in the authority.“The aim of these decisions is not only a reshuffle in the authority’s top managements, but to meet the demands of the upcoming phase, which requests new competencies to continue the development plans currently being implemented to present a better service for passengers,” the ministry’s statement said.The reshuffles come following the derailment of a train on the Cairo-Manoursa line near the city of Toukh in Qalioubiya on Sunday that killed 11 people and injured over a hundred others.This is the second major train accident that occurs in Egypt within a month.On 26 March, a train collision in Sohag governorate killed 19 people and injured 185 others.  Search Keywords: Egypt  Railways   Ministry of transport  Short link:  "
5,4/15/2021 11:35:42 AM,Egypt-Politics,15 injured in train derailment in Sharqiya in the Nile Delta,https://english.ahram.org.eg/NewsContent/1/64/409247/Egypt/Politics-/-injured-in-train-derailment-in-Sharqiya-in-the-Ni.aspx," Related Egypt's prosecution probe shows negligence involved in Sohag's deadly train collisionAfter Sohag deadly collision: What can be done about the railways?Probing the Sohag train crashTwo carriages of a Cairo-Mansoura train skidded off tracks on Wednesday evening near the Minya Al-Qamh station in the Nile Delta's Sharqiya governorate, leaving 15 passengers injured.Train services between Cairo and Sharqiya were briefly halted until a crane lifted the derailed carriages, according to a statement by the Egyptian Ministry of Transport.The Ministry of Health dispatched 33 ambulances to transfer the wounded to a nearby hospital, noting that six were discharged after receiving the necessary treatment.It added that the rest suffered fractures, wounds, and bruises.The prosecution opened an investigation into the accident in order to determine its causes.The incident in Sharqiya comes only hours after twenty people were killed and three others injured earlier in the day when a passenger bus collided with a cement transport vehicle in Assiut.It also occurred less than a month after 20 people were killed and 165 injured as two trains collided in the Tahta district in Sohag governorate, Upper Egypt.Egypt's railway system has had a poor safety record for decades, with deadly collisions and accidents that are often blamed on poor maintenance and management becoming a frequent occurrence.Officials have repeatedly stressed that billions of pounds and several years are needed to upgrade the country’s railway network to provide better service to the public and prevent deadly accidents.The government has been implementing ambitious multi-billion projects to replace hundreds of ailing train carriages and modernise an obsolete signalling system.Following the accident in Sohag, Egyptian Prime Minister Mostafa Madbouly vowed that the government would continue to upgrade railway projects to prevent such deadly train accidents.However, Madbouly warned that similar accidents might occur until the government completes overhauling the railway system.Search Keywords: Egypt.  Railways  Trains accidents  Short link:  "
6,4/14/2021 11:25:43 AM,Egypt-Politics,"Twenty people killed, three injured in a road accident in Assiut ","https://english.ahram.org.eg/NewsContent/1/64/409172/Egypt/Politics-/Twenty-people-killed,-three-injured-in-a-road-acci.aspx","Twenty people were killed and three others injured earlier on Wednesday when a passenger bus collided with a cement transport vehicle in Assiut, the health ministry said.According to the health ministry, the accident took place at the eastern desert road in Assiut.Thirty-six ambulances were sent to the accident location to transfer the victims and the injured to nearby hospitals.The prosecution opened an investigation into the accident and its causes.Though fatal road accidents take place on a near-daily basis in Egypt, which used to suffer from poorly maintained road infrastructure, governmental efforts to upgrade roads have been fruitfully ongoing in recent years.The number of road accidents in Egypt fell by around 30 percent in 2019. According to a report by the Central Agency for Public Mobilisation and Statistics, there were 9,992 accidents in 2019, a noticeable drop from 2014’s 14,403. Search Keywords:Assuit  Road accidents Short link:  "
7,3/27/2021 4:19:32 PM,Egypt-Politics,Modernising Egypt's railway system only way to end accidents: Sisi after Sohag collision,https://english.ahram.org.eg/NewsContent/1/64/407912/Egypt/Politics-/Modernising-Egypts-railway-system-only-way-to-end-.aspx,"Egypt’s President Abdel-Fattah El-Sisi urged on Saturday completing the modernisation of the railway system as the only way to end similar accidents.El-Sisi's statement came a day after at least 19 people were killed in a train collision in Sohag.Two trains collided in Upper Egypt’s Sohag on Friday causing at least 185 injuries. The transport ministry said unknown passengers activated the emergency brake causing the train to stop and a rear-end collision to occur.The president vowed “deterrent punishment” of culprits shortly after the incident.In a meeting with Prime Minister Mostafa Madbouly and a number of ministers, El-Sisi urged striking a balance between the state’s plan to implement a comprehensive modernisation strategy for the railway system and the resumption of train operations, the presidency said in a statement.This is to ensure enhancing the safety and security standards for passengers, the statement cited El-Sisi as saying.Meanwhile, El-Sisi ordered securing the utmost care for the injured people in the collision and paying compensation to the injured and families of the deceased.Health Minister Hala Zayed on Saturday altered the number of deaths resulting from the train collision from 32 to at least 19, saying some of the victims were mistakenly reported dead after they had gone into a coma. Search Keywords:Short link:  "
8,3/26/2021 10:03:17 PM,Egypt-Politics,Egypt will continue upgrading railway projects to prevent deadly train accidents: PM after Sohag crash,https://english.ahram.org.eg/NewsContent/1/64/407879/Egypt/Politics-/Egypt-will-continue-upgrading-railway-projects-to-.aspx," Related Palestinian President Abbas sends condolences to Sisi over victims of Sohag train collisionPakistan expresses solidarity with Egypt over tragic Sohag train accidentAt least 32 people killed, 165 injured in deadly train collision in Upper Egypt's SohagEgypt’s Prime Minister Mostafa Madbouly has vowed that the government will continue to upgrade railway projects to prevent deadly train accidents such as the crash that took place on Friday in Sohag, Upper Egypt, that killed at least 32 people and injured 165.However, Madbouly warned that similar accidents might occur until the government completes the overhauling of the railway system.At a press conference in Sohag, Madbouly promised ""deterrent punishment"" to the culprits behind the deadly collision after the conclusion of investigations conducted by the prosecutor-general.Before the press conference, Madbouly had wrapped up a tour to visit the injured and follow up on measures to handle the disaster in Sohag.Madbouly was accompanied by a number of ministers, including the health and transportation ministers, during his visit to Sohag.The PM also announced during the conference that the government will disperse EGP 100,000 in compensation to the families of the deceased as per presidential orders.Meanwhile, a compensation sum of EGP 20,000 - 40,000 will be disbursed to the families of the injured depending on their degree of injury, he added.Minister of Health Hala Zayed said all those injured in the train collision have been evacuated from the site of the crash and transferred to hospitals in the governorate.She said most of the injured are suffering from various fractures.She added that a medical team from Cairo was dispatched to Sohag to assist in treating the injured.Earlier on Friday, two trains had collided in the Tahta township in Sohag governorate, killing at least 32 people and injuring more than 150.The disaster took place as the government undertakes several mega-projects to upgrade the country's railway system, the oldest and longest railway network in the region.“The state has started upgrading the [railway system], which has suffered from decades of negligence, in the past four years,"" PM Madbouly said.""We have spent hundreds of billions of pounds to upgrade the system,” Madbouly added.However, “it is not a problem of funding. We are confronting an issue of ‘time lag’ since our modernisation efforts are happening at the same time that the system has to continue operation to serve millions of people daily,” he said.The prime minister added that the coronavirus pandemic hampered the efforts to upgrade the railway system, which include the modernising of lines and control rooms, due to delays in deals with foreign companies.Dealing with a poor recordEgypt's railway system has had a poor safety record for decades, with deadly collisions and accidents that are often blamed on poor maintenance and management a frequent occurrence.Officials have repeatedly stressed that billions of pounds and several years are needed to upgrade the country’s railway network to provide better service to the public and prevent deadly accidents.The government has been implementing ambitious multi-billion projects to replace hundreds of ailing train carriages and modernise an obsolete signalling system.In February 2019, a blaze broke out at Cairo's Ramses Railway Station following a train crash, killing 31 people and injuring 17.In August 2017, a train collision outside Alexandria killed 41 people and injured some 179.Prosecution investigatesProseuctor-General Hamada El-Sawy traveled to Sohag on Friday afternoon to inspect the scene of the crash.This came only a few hours after he had ordered an urgent investigation into the causes of the deadly collision and instructed “all bodies not to issue any statements on the reasons behind the collision,"" before the results of the prosecution's investigations are announced.Transportation ministry forms technical committeeThe transportation ministry had said earlier on Friday that the collision occurred after “an emergency brake in some carriages [of Train 157 Luxor-Alexandria] was activated by unknown individuals,"" forcing the Luxor-Alexandria train to come to a sudden stop only to be hit from behind by an incoming train, Train 709 Aswan-Cairo.The collision caused two carriages from the Luxor-Alexandria train and the tractor of the Aswan-Cairo train to derail and flip over, leading to the casualties, the transportation ministry added.The ministry said a technical committee has been formed to determine the cause of the crash, with efforts underway to resume train traffic on the line.Sisi vows ""deterrent punishment""Shortly after the collision, President Abdel-Fattah El-Sisi vowed “deterrent punishment” for the culprits of the deadly train collision, stressing the determination to end a “pattern of such disasters.""“Whoever caused this tragic accident, whether through negligence or corruption or other reasons, will face deterrent punishment with no exceptions, reluctance, or deferment,” El-Sisi said in a post on his Facebook page.The president also expressed condolences to the families of the victims and promised suitable compensations to their families.Search Keywords: Sohag  Egypt  Sisi  railway Short link:  "
9,2/10/2021 4:14:07 PM,Egypt-Politics,55 individuals discharged from hospital after being injured in collision on Ismailiya-Zagazig road: Health ministry,https://english.ahram.org.eg/NewsContent/1/64/403769/Egypt/Politics-/-individuals-discharged-from-hospital-after-being-.aspx," Related In Photos: Egypt's Sisi inspects Middle Ring road, other projects FridayIn Maps: Sisi inspects major road, bridges projects in East Cairo, development projects in Ezbet El-HagganaEgypt’s Sisi orders establishing service centres on major road networksEgypt’s health ministry said in a statement on Wednesday that 55 injured have been discharged from Ismailiya’s Chest Hospital after receiving medical treatment and the improvement of their health conditions.Health Ministry Spokesperson Khaled Megahed revealed in the statement that “three more injured people are still in the hospital receiving the necessary treatment and medical care.”Megahed noted that the injuries ranged from fractures, bruises, and abrasions.No fatalities were reported in the health ministry’s statement.The injuries came from a road accident that happened earlier on Wednesday on the Ismailiya-Zagazig road, when two buses carrying workers collided due to the dense fog.Immediately after the the accident, 20 equipped ambulances were deployed and the injured were transferred to the Chest Hospital in Ismailiya, Megahed said.Earlier on Tuesday, the Egyptian Meteorological Authority issued a foggy weather alert for the highways as well as desert and agricultural roads near water bodies leading to and from Cairo, Lower Egypt, the northern coast, and the canal cities.Search Keywords: Egypt  Accidents  road accidents  Ismailia-Zagazig road  injuries  health ministry Short link:  "
