,political_review,date
0,Parliament approves law setting up Egyptian Health Council ,2022-02-09
1,New head of Egypt's Supreme Constitutional Court sworn in before Sisi,2022-02-09
2,Egypt’s HR council hails as 'historic step' the appointment of Boulos Eskandar as head of Supreme Constitutional Court,2022-02-09
3,Sisi names first Christian as president of Egypt's Supreme Constitutional Court,2022-02-08
4,Egyptian parliament rejects draft law imposing fine on parents of absentee students,2022-02-08
5,Egypt's parliament to discuss new law easing real estate registration procedures ,2022-02-07
6,Egypt targets listing more state-run companies on bourse in 2022: Cabinet statement,2022-02-01
7,Egyptian parliament rejects draft law imposing fines on parents of absentee students ,2022-01-31
8,Ramy Shaath’s allegations of mistreatment in prison aims to gain sympathy of foreign public: Egyptian security source,2022-01-29
9,Egypt's Senate to resume discussions over new labour law on Sunday and Monday,2022-01-29
10,Government refutes rumours of 'lay offs' amid digital transformation strategy,2022-01-28
11,"Egypt's parliament speaker, head of NCHR discuss implementing new human rights strategy",2022-01-25
12,"Egypt's parliament approves five economic laws, including one to engage private sector in economic development",2022-01-25
13,Egypt to focus on how private sector can play role in combating climate change at COP27: FM,2022-01-24
14,Egypt’s House approves EGP 800 million loan for ‘Super Jet’ to operate in NAC,2022-01-24
15,President Sisi praises sacrifices of police officers in defeating terrorism on their 70th national day ,2022-01-23
16,Egypt's House of Representatives to discuss draft law on creating 'Tourism and Antiquities Fund',2022-01-23
17,Sisi orders raising minimum wage in fiscal year 2022/23,2022-01-18
18,"PM denies Egyptian-US ties are 'lukewarm,' comments on GERD and listing army companies on EGX",2022-01-16
19,Egypt’s Senate rejects proposal on paternal leave,2022-01-16
20,Egypt's Senate to resume discussions over new labour law ,2022-01-16
21,Egypt’s parliament decries Human Rights Watch's 'false' reports,2022-01-15
22,President Sisi declares 2022 as the Year of Civil Society in WYF closing ceremony ,2022-01-13
23,IMF imposed no obligatory track on Egypt in reform programme: Sisi,2022-01-13
24,Egypt has political will to let youth take lead in implementing new human rights strategy: NCHR president,2022-01-11
25,Egypt among most vulnerable states to climate change despite low emissions: PM Madbouly to WYF,2022-01-11
26,"Egypt's health initiatives, economic reforms cushioned blow of coronavirus, President Sisi says at WYF",2022-01-10
27,Egypt’s Dar Al-Ifta prohibits deepfake video and audio clips ,2022-01-07
28,EgyptAir to operate flight from Morocco to repatriate nationals amid border closure,2022-01-07
29,Egypt’s President Sisi attends Christmas mass at Nativity of the Christ Cathedral,2022-01-06
30,Egypt’s governorates are priority for National Council for Human Rights: President Moushira Khattab,2022-01-05
31,Egypt keen on supporting Chad during transitional phase: President Sisi,2022-01-05
32,"Egypt's parliament approves laws regulating FinTech, renewable energy development ",2022-01-05
33,Egypt’s parliament to discuss new law on economic planning policies,2022-01-03
34,"Sisi reiterates support for UN in face of crime, illicit drugs and terrorism threats",2022-01-02
35,"All religions advocate peace, but problem is misinterpretations, Egyptian minister tells French ambassador",2022-01-02
36,Egypt's Senate gives preliminary approval to new labour law,2022-01-02
37,2021 Yearender: Major events that shaped Egypt this year,2021-12-31
38,Egyptian parliament issues report on 2021 achievements,2021-12-31
39,Egyptian Center for Strategic Studies releases Outlook 2022 in English and Arabic,2021-12-31
40,"Egypt invested EGP 16 bln in water rationalisation, management projects in 2021: Report",2021-12-29
41,Sisi reiterates call for participation of private sector in new projects,2021-12-28
42,"Egypt's parliament approves three laws on renewable energy, university professors, Academy of Arts",2021-12-27
43,Egypt's parliament rejects granting art-centric syndicates judicial powers to crack down on 'substandard artists',2021-12-26
44,"Egypt's parliament to discuss new laws, question education minister",2021-12-25
45,"Sisi calls for legalising unlicensed factories, says ‘state’s goal is not taxation’",2021-12-25
46,Egyptian cabinet to hold 1st meeting in new capital Thursday,2021-12-23
47,Reducing carbon emissions: Egypt’s project to replace and convert cars to run on natural gas,2021-12-22
48,Egypt's senate discusses climate change threat to Alexandria after dire warning from UK PM,2021-12-20
49,Egypt recovers 26 ancient artefacts smuggled to Spain in 2014,2021-12-20
50,MPs express concerns regarding latest coronavirus developments,2021-12-19
51,"IAEA voices 'full' support to Egypt's Dabaa nuclear power plant, says 'major' step toward peaceful uses",2021-12-16
52,"Egypt has adopted measures to combat illicit financial flows, official tells UN anti-corruption conference",2021-12-15
53,Amendments to Egypt's VAT law get final approval from parliament,2021-12-14
54,Egypt's parliament postpones discussion of amendments imposing sweeping tax hikes,2021-12-14
55,MPs ask for explanation regarding Canada's decision to ban travel from Egypt,2021-12-12
56,"Egypt's parliament to question education minister on packed classrooms, high fees and lack of teachers",2021-12-11
57,Egypt keen to consolidate citizens' rights: President Sisi,2021-12-11
58,12 organisations commend ‘important positive steps’ to consolidate human rights in Egypt,2021-12-09
59,Organisation of Islamic Cooperation can benefit from Egypt’s prestigious Islamic institutions: Sisi,2021-12-07
60,In Photos: Egypt’s housing minister inspects Tanzania’s Julius Nyerere Hydroelectric Power Project,2021-12-07
61,Egypt signs EGP 3.5-bln-deal to revamp historical Tahrir Complex ,2021-12-07
62,"Ethiopia 'tells lies' about Egypt's water, share in the Nile: Irrigation minister",2021-12-05
63,Egyptian and Belgian speakers of parliament discuss strengthening relations,2021-12-02
64,House amends law to give greater incentives for public institutions to set up non-profit universities,2021-12-01
65,"President Sisi ratifies law on measures to fight epidemics, pandemics",2021-11-30
66,Egypt's parliament to grant art-centric syndicates judicial powers to crack down on 'substandard artists',2021-11-29
67,Egypt's parliament approves 10 percent customs tax on imported mobile phones,2021-11-28
68,Egypt's parliament to discuss new laws on non-profit universities and financial technology,2021-11-27
69,Egypt's senate proposes package of tax reforms to boost capital market investments,2021-11-22
70,Egypt's Senate provisionally approves law granting senior citizens social and financial rights,2021-11-21
71,Egypt's Senate to discuss new law on senior citizens' rights ,2021-11-20
72,President Sisi and First Lady Entissar receive Prince Charles and Duchess Camilla at Ittihadiya Palace,2021-11-18
73,"Prince Charles, Duchess Camilla in Egypt for first visit since 2006",2021-11-18
74,Egypt to form committee to prepare for COP27 in Sharm El-Sheikh ,2021-11-17
75,"Kemet Boutros Ghali Foundation honours Egyptian renowned Juror George Abi-Saab, Tanzanian diplomat Salim Ahmed Salim",2021-11-16
76,"Egypt, Hungary to set up parliamentary friendship association",2021-11-16
77,"Egypt's parliament approves new law on measures to fight epidemics, pandemics",2021-11-16
78,Egypt parliament approves law encouraging private participation in infrastructure projects,2021-11-15
79,Egypt's parliament to discuss new law on fighting epidemics and pandemics,2021-11-13
80,"Scorpion stings kill 3, injure 450 amid bad weather in Egypt's Aswan",2021-11-13
81,Egypt officially selected to host UN COP27 ,2021-11-11
82,"Egypt rehabilitates over 3,000 kms of irrigation canals: Minister",2021-11-08
83,Senate approves new law to streamline economic planning policies,2021-11-07
84,Sisi orders accelerating development of Sharm El-Sheikh ahead of COP27,2021-11-06
85,Former Egyptian interior minister Hassan El-Alfi dies at 85,2021-11-04
86,There is 'urgent need' for Egypt and Ethiopia to reach GERD deal: US envoy to African Horn,2021-11-02
87,Parliament approves traffic law amendments lowering driving age for motorcycles,2021-11-01
88,"Sisi, Qatar’s Tamim meet for second time since resumption of relations ",2021-11-01
89,President Sisi heads to Britain to participate in COP26,2021-10-31
90,Veteran leftist politician Abdel-Ghaffar Shukr passes away at the age of 85,2021-10-31
91,Egypt's parliament to discuss new amendments to anti-terror law,2021-10-30
92,Ethiopia’s unilateral GERD actions harm Egypt and Sudan: Irrigation minister,2021-10-29
93,"EU welcomes end to state of emergency, new strategy for human rights in Egypt: Ambassador",2021-10-28
94,NCHR hails Sisi's decision to not extend state of emergency as 'key step to bolstering human rights',2021-10-26
95,Revoking state of emergency reflects state of stability: Egyptian political parties,2021-10-26
96,President Sisi signs law on water resources and irrigation,2021-10-26
97,"Egypt will not extend state of emergency, says President Sisi",2021-10-26
98,"Foreign Ministry deplores Israeli announcement of tenders for over 1,300 settlement units",2021-10-26
99,Egypt's Senate approves new law that maximises the economic value of biological resources,2021-10-25
100,Egypt's Senate to discuss new law on access and sharing of biological resources ,2021-10-24
101,"Sisi calls for 'binding, balanced deal' on GERD 'as soon as possible and without further delay'",2021-10-24
102,"Egypt, Qatar seek further economic cooperation: Officials",2021-10-22
103,"House’s approval of EGP 5 billion loan for EgyptAir a hard win, but will it be effective?",2021-10-21
104,Egypt's Sisi attends graduation ceremony for police cadets,2021-10-20
105,Egyptian MPs approve amendment toughening penalties on bullying disabled persons,2021-10-19
106,Egyptian MPs provisionally approve law encouraging private participation in infrastructure projects,2021-10-17
107,"'Egypt will continue building awareness, reforming religious discourse': Sisi at Moulid El-Nabi celebration",2021-10-17
108,Egypt's parliament to discuss host of economic legislation and int'l agreements this week,2021-10-16
109,Gypto Pharma will transform Egypt to a pharmaceutical regional hub: Chairman of Medicine City,2021-10-16
110,Egypt’s academic institutions can develop pharmaceutical industry: Higher education minister,2021-10-16
111,Larger Middle East saw 140 terror attacks in September; Iraq and Afghanistan most stricken nations: NCS report,2021-10-13
112,Egypt and South Korea to set up a parliamentary friendship association,2021-10-11
113,Egyptian parliament's Budget Committee to discuss new General Unified Finance Law on Monday,2021-10-10
114,Egypt's Senate elects top posts for its 14 committees,2021-10-06
115,Sisi praises sacrifices of Sinai's people against Israeli occupation on anniversary of October victory,2021-10-06
116,Sadat’s peace initiative with Israel shattered entrenched beliefs of his time: President Sisi,2021-10-06
117,Egypt's Senate to hold elections for top committee posts on Wednesday,2021-10-06
118,In Photos: Sisi lays wreaths at tombs of Nasser and Sadat ahead of 1973 War anniversary,2021-10-05
119,Egypt condoles Oman over cyclone 'Shaheen' victims,2021-10-04
120,Egypt parliament approves amendment toughening penalties on bullying disabled persons,2021-10-04
121,Egypt's parliament reconstitutes the National Council for Human Rights,2021-10-04
122,Egypt's Mostaqbal Watan party maintains majority for leading posts of parliament's 25 committees,2021-10-03
123,Egypt's parliament opens its second legislative season amid strict anti-coronavirus measures,2021-10-02
124,Egypt selected as nominee to host UN COP 27 on climate change ,2021-10-02
125,Egypt's Mostaqbal Watan Party dismisses Aswan MP for 'unethical conduct',2021-09-29
126,Recovery of global economy linked to African countries' ability to restore pre-pandemic economic rates: Egypt's PM,2021-09-28
127,"Korea's embassy organizes webinar to boost medical, pharmaceutical cooperation with Egypt",2021-09-28
128,Egyptian MPs to draft amendment postponing Capital Gains Tax Law to 2023,2021-09-28
129,Sisi directs gov't to remove building violations on irrigation facilities within 6 months,2021-09-28
130,"Ethiopia's statements on GERD 'prevaricating and lacks credibility,' says Egypt's FM Shoukry",2021-09-28
131,Egypt's president Sisi inaugurates world’s largest wastewater treatment plant of its kind in Port Said,2021-09-27
132,Ethiopian Embassy in Cairo to temporarily close starting in October: Ethiopian ambassador,2021-09-26
133,Danger of famine limits ability of governments to implement sustainable development objectives: Sisi,2021-09-24
134,Strategic relations between Egypt and US are indispensable to both countries’ interests: Egyptian FM,2021-09-23
135,Sisi honours Egyptian Paralympic medal winners,2021-09-23
136,President Sisi supportive of strategy to localise automotive industry: PM Madbouly,2021-09-23
137,Egyptian president greets Saudi king on Saudi National Day,2021-09-23
138,Marc Baréty appointed new French ambassador in Cairo,2021-09-22
139,"Egypt, Saint Kitts and Nevis establish diplomatic relations",2021-09-22
140,Egypt’s Cairo Tower lit in celebration of Armenia’s independence,2021-09-22
141,"President Sisi says River Nile lifeline for Egyptians, slams Ethiopia's intransigence in GERD talks",2021-09-22
142,"Egypt's Sisi urges debt relief for developing, African countries, fair solution for Palestinian cause",2021-09-21
143,Egypt condemns failed coup attempt in Sudan ,2021-09-21
144,Ethiopia lacked 'sincere' will to reach agreement on GERD dispute in a decade of negotiations: Egypt's irrigation minister,2021-09-21
145,FACTBOX: Egypt’s longest-serving defence minister Mohamed Hussein Tantawy,2021-09-21
146,"FM Shoukry holds meetings with top diplomats, officials in New York ",2021-09-20
147,Egypt wants to host COP 27 on behalf of Africa in 2022: President Sisi,2021-09-20
148,Egypt's reform programme's results proved how the state's vision was correct: President Sisi ,2021-09-20
149,Sisi orders to continue providing financial resources to upgrade ICT in Egypt,2021-09-20
150,Egypt's FM heads for New York to attend UN General Assembly ,2021-09-19
151,Egypt FM Shoukry stresses need to revive ME peace process to Israeli counterpart ,2021-09-19
152,"Egypt reports 637 new coronavirus cases, 16 deaths on Saturday",2021-09-19
153,"Sudan FM decries Ethiopia for 'fabricating problems' over GERD, borders",2021-09-18
154,Tunisia 'astonished' by Ethiopia's reaction on UNSC statement on GERD dispute,2021-09-17
155,"Sisi, Bennett meeting aimed at cementing truce between Palestinians and Israelis: Presidential spokesman",2021-09-16
156,"Egypt supports all Iraqi government's efforts to foster development, security: PM Madbouly",2021-09-16
157,Libya’s Dbeibah says his visit to Cairo sends regional message about Egypt's regional role,2021-09-16
158,"Sisi discusses GERD, regional developments with the King of Bahrain ",2021-09-16
159,"Egypt, Libya ink 14 MoUs, 6 agreements in multiple fields ",2021-09-16
160,Egypt received plan from DR Congo to resume AU-sponsored GERD talks: FM Shoukry,2021-09-16
161,"Egypt ready to provide the necessary means to help Libyans hold presidential, legislative elections: Sisi",2021-09-16
162,"Egypt, Sudan welcome UNSC statement on GERD, Ethiopia claims it's not binding",2021-09-16
163,"Egypt's coronavirus cases continue to rise; 531 new infections, 13 deaths recorded on Wednesday",2021-09-16
164,"Egyptian, Libyan ministers discuss enhancing cooperation on land and dry ports",2021-09-16
165,Cairo welcomes UNSC presidential statement on GERD,2021-09-16
166,Sisi affirms Egypt's keenness to further develop cooperation with Iraq,2021-09-15
167,Egyptian and Iraqi speakers of parliament discuss reinforcing relations between Cairo and Baghdad,2021-09-15
168,UNSC expected to issue presidential statement urging resumption of GERD talks: Diplomatic sources,2021-09-15
169,DR Congo’s president affirms to Sisi keenness to enhance economic ties with Egypt,2021-09-15
170,"Egypt, Qatar hold new round of consultations in Doha ",2021-09-15
171,Sisi sends condolences to British PM for his mother's death,2021-09-15
172,"Egypt will continue coordination with Libyan parties until elections are held, says Sisi",2021-09-14
173,Sisi discusses Middle East peace process with Israeli PM Bennett in Sharm El-Sheikh,2021-09-13
174,Egyptian President Sisi to meet with Israeli PM Naftali Bennett in Sharm El-Sheikh on Monday,2021-09-13
175,53 Egyptian migrants returned to Egypt from Libya: Foreign ministry ,2021-09-12
